Ano;Mês;Classificação;Fonte;Rubrica;Receita;Receita Mês (R$);Receita Ano (R$);Receita Orçada (R$)
2026;02;13210101165;0002;1284;Juros Banc. Op. Financeiras - Convênio Secretaria de Educação Estado de São Paulo - Repasse Salário Educação;285,12;616,39;0,00
2026;02;13210101169;0001;1286;Juros Banc. Op. Financeiras - Compensação Ambiental - Sistema Viário Via Cambuí ;1.649,87;3.255,15;0,00
2026;02;13210101170;0005;1000;Juros Banc. Op. Financeiras - Procad SUAS;59,37;128,29;0,00
2026;02;13210101171;0005;1001;Juros Banc. Op. Financeiras - Convênio Ministério do Esporte - Modernização do Campo do Esporte Clube Interlagos - Emenda Parlamentar Individual;0,00;5.621,66;0,00
2026;02;13210101173;0006;1017;Juros Banc. Op. Financeiras - Termo de Compromisso de Compensação Ambiental - Via Cambuí - APA Federal Mananciais Rio Paraíba do Sul;3.045,42;6.573,67;0,00
2026;02;13210101175;0005;1004;Juros Banc. Op. Financeiras - FNAS - Emenda Parlamentar Individual - Sociedade Holística Humanitária;800,40;1.730,32;0,00
2026;02;13210101178;0005;1007;Juros Banc. Op. Financeiras - Piso Salarial Enfermagem;11.901,53;25.518,56;90.000,00
2026;02;13210101179;0005;1008;Juros Banc. Op. Financeiras - Convênio Ministério do Esporte - Modernização e Revitalização de Pistas de Skate no Município de São José dos Campos;0,00;5.114,77;0,00
2026;02;13210101181;0005;1019;Juros Banc. Op. Financeiras - FNDE - Programa Escola em Tempo Integral;7,40;15,98;0,00
2026;02;13210101183;0002;1021;Juros Banc. Op. Financeiras - Emenda Parlamentar Individual Estadual - Aquisição de Equipamentos GCM - Stand de Tiro;0,01;0,01;0,00
2026;02;13210101185;0005;1022;Juros Banc. Op. Financeiras - Convênio com o Ministério do Meio Ambiente e Mudança do Clima - Projeto Fazenda Urbana;142,97;307,97;0,00
2026;02;13210101186;0002;1024;Juros Banc. Op. Financeiras - Convênio Fehidro - Restauração Ecológica no Manancial Jaguari em São José dos Campos;957,93;2.070,85;0,00
2026;02;13210101187;0002;1025;Juros Banc. Op. Financeiras - Convênio Fehidro - Restauração Florestal no Manancial Jaguari em São José dos Campos;1.727,51;4.342,44;0,00
2026;02;13210101188;0002;1026;Juros Banc. Op. Financeiras - Emenda Parlamentar Estadual - Convênio SSP-SP - Secretaria de Proteção ao Cidadão;6,68;7,42;0,00
2026;02;13210101191;0002;1032;Juros Banc. Op. Financeiras - Fundo Estadual de Assistência Social - FEAS - Proteção Social Especial Média Complexidade;388,78;837,46;9.000,00
2026;02;13210101199;0002;1257;JUROS BANC. OP. FINANCEIRAS - Convênio FEHIDRO - Manancial Jaguari - Fase II;3.329,88;7.094,00;0,00
2026;02;13210101200;0002;1918;Juros Banc. Op. Financeiras - Convênio Departamento de Estradas de Rodagem - DER - Via Jaguari;499,34;1.077,84;0,00
2026;02;13210101202;0005;1921;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - Aquisição de Estande de Tiro Virtual;289,26;632,61;0,00
2026;02;13210101204;0005;1924;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - Investimentos SEPAC;242,14;521,46;0,00
2026;02;13210101205;0001;1925;Juros Banc. Op. Financeiras - Receita com Utilização do Centro de Treinamento do Atleta Cidadão - CTAC;117,18;221,82;0,00
2026;02;13210101207;0002;1927;Juros Banc. Op. Financeiras - Convênio Estadual Cozinhalimento - Instalação de Cozinha Piloto Experimental;176,00;398,38;0,00
2026;02;13210101208;0005;1928;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - FNAS - AAFLAP;581,23;1.252,06;0,00
2026;02;13210101209;0005;1929;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - FNAS - Associação Virgem de Guadalupe - Corrente;76,35;164,47;0,00
2026;02;13210101210;0002;1930;Juros Banc. Op. Financeiras - Fundo Estadual de Assistência Social - FEAS - Custeio - Associação de Pais e Amigos dos Excepcionais de São José dos Campos - APAE-SJC;0,00;486,51;0,00
2026;02;13210101211;0002;1931;Juros Banc. Op. Financeiras - Fundo Estadual de Assistência Social - FEAS - Vigilância Socioassistencial ;391,02;843,53;0,00
2026;02;13210101212;0002;1932;Juros Banc. Op. Financeiras - Fundo Estadual de Assistência Social - FEAS - CRAS Santa Rita;0,00;393,99;0,00
2026;02;13210101213;0002;1933;Juros Banc. Op. Financeiras - Fundo Estadual de Assistência Social - FEAS - Custeio OSC;0,00;54,38;0,00
2026;02;13210101214;0003;1934;Juros Banc. Op. Financeiras - Multas por Auto de Infração - Combate à Dengue;4.617,55;9.748,28;20.000,00
2026;02;13210101215;0005;1935;Juros Banc. Op. Financeiras - Convênio Ministério do Esporte - Construção de Espaço Esportivo Comunitário Jd Mariana - Novo PAC;10.918,35;25.296,75;0,00
2026;02;13210101216;0005;1936;Juros Banc. Op. Financeiras - FNDE - Construção de Creche e Escola de Educação Infantil - EMEI Jd Santa Júlia - Novo PAC;7.824,10;16.842,73;0,00
2026;02;13210101217;0005;1937;Juros Banc. Op. Financeiras - Transferência de Recursos do SUS - Atenção Especializada - Via Emenda Parlamentar Individual;653,77;1.408,29;0,00
2026;02;13210101219;0003;1939;Juros Banc. Op. Financeiras - Serviços de Suporte e Intervenção de Trânsito SEMOB - FMT;1.488,48;3.170,50;0,00
2026;02;13210101220;0005;5001;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 40360008/2024 - Portaria 5.926/2024 - Área: Saúde - CVV	;161,42;347,72;0,00
2026;02;13210101222;0005;5003;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 40360008/2024 - Portaria 6.122/2024 - Área: Saúde - Pio XII;178,66;384,87;0,00
2026;02;13210101223;0006;1941;Juros Banc. Op. Financeiras - Repasse Processos Judiciais - Saúde;8,34;10,23;0,00
2026;02;13210101224;0005;1949;Juros Banc. Op. Financeiras - SUS - Fundo Nacional de Saúde - Construção de Maternidade - Novo PAC;1.667,86;3.564,15;0,00
2026;02;13210101225;0005;5004;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 39280003/2024 - Transferência Especial - Área: Esporte;2.957,96;6.370,19;0,00
2026;02;13210101226;0002;5005;Juros Banc. Op. Financeiras - Emenda Parlamentar Estadual Individual - 057.71657/2025 - Área: Segurança Pública;798,10;886,65;0,00
2026;02;13210101228;0005;5006;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 90320007/2025 - Portaria 7.413/2025 - Área: Saúde - Reforma UBS;4.130,28;8.897,23;0,00
2026;02;13210101229;0006;1945;Juros Banc. Op. Financeiras - Operação Urbana Consorciada do Bairro Urbanova;139.785,02;218.785,11;0,00
2026;02;13210101231;0003;1951;Juros Banc. Op. Financeiras - Fundo Municipal de Saúde - Taxas e Multas Saúde;17.685,02;38.561,12;250.000,00
2026;02;13210101232;0005;5008;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 25200009/2025 - Portaria 7.518/2025 - Área: Saúde - Pio XII;54,02;116,36;0,00
2026;02;13210101233;0005;5009;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 36110001/2025 - Portaria 7.518/2025 - Área: Saúde - Pio XII;81,02;174,54;0,00
2026;02;13210101234;0005;5010;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 25170002/2025 - Portaria 7.518/2025 - Área: Saúde - Pio XII;51,20;110,30;0,00
2026;02;13210101239;0005;5013;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 31600015/2025 - Portaria 7.472/2025 - Área: Saúde - Pio XII;57,85;124,62;0,00
2026;02;13210101240;0005;5014;Juros Banc. Op. Financeiras - 	Emenda Parlamentar Federal Individual - 15680011/2025 - Portaria 7.642/2025 - Área: Saúde - Pio XII;23,14;49,85;0,00
2026;02;13210101241;0005;5015;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 43490002/2025 - Portaria 7.505/2025 - Área: Saúde - CVV;43,31;93,31;0,00
2026;02;13210101242;0005;5016;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 41550002/2025 - Portaria 7.474/2025 - Área: Saúde - Pio XII;253,48;3.511,05;0,00
2026;02;13210101243;0005;5017;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 38990017/2025 - Portaria 7.500/2025 - Área: Saúde - Pio XII;362,12;5.015,79;0,00
2026;02;13210101244;0005;5018;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 37170021/2025 - Área: Assistência Social - Alpha Lumen;804,02;1.731,96;0,00
2026;02;13210101245;0005;5019;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 37300005/2025 - Portaria 7.500/2025 - Área: Saúde - Pio XII;65,19;987,57;0,00
2026;02;13210101246;0005;5020;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 15810017/2025 - Portaria 7.518/2025 - Área: Saúde - Pio XII;130,38;1.975,16;0,00
2026;02;13210101247;0005;5021;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 37170012/2025 - Portaria 7.474/2025 - Área: Saúde - Pio XII;130,38;1.975,16;0,00
2026;02;13210101248;0005;5022;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 37300004/2025 - Portaria 7.413/2025 - Área: Saúde – FMS;0,00;0,21;0,00
2026;02;13210101249;0002;1958;Juros Banc. Op. Financeiras - Emenda Parlamentar Individual - Implantação de Sala Multissensorial SEC - Alteração de Objeto;1.990,73;4.303,56;0,00
2026;02;13210101250;0005;5023;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 37300002/2025 - Área: Assistência Social - Unidade Vicentina;791,34;1.704,67;0,00
2026;02;13210101251;0005;5024;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 37460001/2025 - Portaria 8.780/2025 - Área: Saúde - Pio XII;786,60;1.694,46;0,00
2026;02;13210101252;0005;5025;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal Individual - 15680013/2025 - Transferência Especial - Área: Mobilidade Urbana;7.787,40;16.775,21;0,00
2026;02;13210101253;0002;5026;Juros Banc. Op. Financeiras - Emenda Parlamentar Estadual Individual - 322.63288/2024 - Área: Esportes - Circuito Joseense de Taekwondo;7.910,85;17.101,74;0,00
2026;02;13210101254;0005;5027;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal de Comissão - 50410002/2025 - Portaria 8.886/2025 - Área: Saúde - FMS;2.364,87;5.094,29;0,00
2026;02;13210101255;0005;5028;Juros Banc. Op. Financeiras - Emenda Parlamentar Federal de Comissão - 50410002/2025 - Portaria 8.886/2025 - Área: Saúde - Pio XII;1.182,44;2.547,15;0,00
2026;02;13210101256;0005;1956;Juros Banc. Op. Financeiras - Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS - Programa de Erradicação do Trabalho Infantil;260,37;560,88;0,00
2026;02;13210101257;0005;1957;Juros Banc. Op. Financeiras - Transferências da Política Nacional Aldir Blanc de Fomento à Cultura - Lei nº 14.399/2022 - Ciclo 2;35.045,09;74.020,17;0,00
2026;02;13210101258;0005;1954;Juros Banc. Op. Financeiras - Transferências de Recursos do Fundo Nacional de Assistência Social – FNAS - Piso Básico Fixo;1.511,91;3.201,42;20.000,00
2026;02;13210101259;0005;1955;Juros Banc. Op. Financeiras - Transferência de Recursos do Fundo Nacional de Assistência Social - FNAS - Piso de Alta Complexidade;3.884,67;8.657,77;40.000,00
2026;02;13210101260;0001;1959;Juros Banc. Op. Financeiras - Concessão de Uso - Quiosques Banhado	;9,55;9,55;0,00
2026;02;13210101261;0006;1961;Juros Banc. Op. Financeiras - Convênio Prefeitura Monteiro Lobato - Pavimentação de Estradas Municipais;624,79;624,79;0,00
2026;02;13210101262;0002;5029;Juros Banc. Op. Financeiras - Emenda Parlamentar Estadual Individual - 429.20005/2025 - Área: Segurança Pública - Aquisição Viatura GCM;652,47;652,47;0,00
2026;02;13220000000;;;DIVIDENDOS;0,00;0,00;19.000,00
2026;02;13220100000;;;DIVIDENDOS;0,00;0,00;19.000,00
2026;02;13220101001;0001;1058;Dividendos - Principal;0,00;0,00;19.000,00
2026;02;17000000000;;;TRANSFERÊNCIAS CORRENTES;199.774.697,09;513.477.258,97;2.960.867.000,00
2026;02;17100000000;;;TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES;39.197.924,76;75.715.361,31;461.560.000,00
2026;02;17110000000;;;TRANSFERÊNCIAS DECORRENTES DE PARTICIPAÇÃO NA RECEITA DA UNIÃO;16.462.937,20;29.562.228,62;168.114.000,00
2026;02;17115100000;;;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - FPM;16.456.008,98;29.544.384,46;167.629.000,00
2026;02;17115110000;;;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DOS MUNICÍPIOS - COTA MENSAL;16.456.008,98;29.544.384,46;148.909.000,00
2026;02;17115111001;0001;1163;Cota-Parte do Fundo de Participação dos Municípios - Cota Mensal - Principal;16.456.008,98;29.544.384,46;148.909.000,00
2026;02;17115120000;;;COTA-PARTE DO FUNDO DE PARTICIPAÇÃO DO MUNICÍPIOS – COTAS EXTRAORDINÁRIAS;0,00;0,00;18.720.000,00
2026;02;17115121001;0001;2962;Cota-Parte do Fundo de Participação do Municípios - 1% Cota entregue no mês de dezembro - EC 55/2007;0,00;0,00;6.505.000,00
2026;02;17115121002;0001;2961;Cota-Parte do Fundo de Participação dos Municípios - 1% Cota entregue no mês de julho - EC 84/2014;0,00;0,00;6.362.000,00
2026;02;17115121003;0001;2013;Cota-Parte do Fundo de Participação do Municípios – 1% Cota entregue no mês de setembro - EC 112/2021;0,00;0,00;5.853.000,00
2026;02;17115200000;;;COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL;6.928,22;17.844,16;485.000,00
2026;02;17115201001;0001;1198;Cota-Parte do Imposto Sobre a Propriedade Territorial Rural - ITR;6.928,22;17.844,16;485.000,00
2026;02;17120000000;;;TRANSFERÊNCIAS DAS COMPENSAÇÕES FINANCEIRAS PELA EXPLORAÇÃO DE RECURSOS NATURAIS;791.900,60;1.698.897,94;18.165.000,00
2026;02;17125000000;;;COTA-PARTE DA COMPENSAÇÃO FINANCEIRA PELA EXPLORAÇÃO DE RECURSOS HÍDRICOS;0,00;19.448,17;315.000,00
2026;02;17125001001;0001;1171;Cota-parte da Compensação Financeira de Recursos Hídricos - CFH;0,00;19.448,17;315.000,00
2026;02;17125100000;;;COTA-PARTE DA COMPENSAÇÃO FINANCEIRA PELA EXPLORAÇÃO DE RECURSOS MINERAIS - CFEM;40.488,75;99.071,32;684.000,00
2026;02;17125101001;0001;2275;Cota-parte da Compensação Financeira de Recursos Minerais - CFEM;40.488,75;99.071,32;684.000,00
2026;02;17125200000;;;COTA-PARTE DA COMPENSAÇÃO FINANCEIRA PELA PRODUÇÃO DE PETRÓLEO ;751.411,85;1.580.378,45;17.166.000,00
2026;02;17125210000;;;COTA-PARTE DA COMPENSAÇÃO FINANCEIRA PELA PRODUÇÃO DE PETRÓLEO – LEI Nº 7.990/89;531.087,33;1.163.047,07;13.602.000,00
2026;02;17125211001;0001;1201;Cota-parte Royalties - Compensação Financeira pela Produção de Petróleo - Lei nº 7.990/89;531.087,33;1.163.047,07;13.602.000,00
2026;02;17125220000;;;COTA-PARTE PELO EXCEDENTE DA PRODUÇÃO DO PETRÓLEO – LEI Nº 9.478/97, ARTIGO 49, I E II;7.883,74;15.531,34;450.000,00
2026;02;17125221001;0001;1202;Cota-Parte Royalties pelo Excedente da Produção do Petróleo - Lei nº 9.478/97, Artigo 49, I e II - Principal;7.883,74;15.531,34;450.000,00
2026;02;17125240000;;;COTA-PARTE DO FUNDO ESPECIAL DO PETRÓLEO – FEP;212.440,78;401.800,04;3.114.000,00
2026;02;17125241001;0001;1203;Cota-Parte do Fundo Especial do Petróleo – FEP - Principal;212.440,78;401.800,04;3.114.000,00
2026;02;17130000000;;;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS ;16.183.314,63;31.982.577,80;211.046.000,00
2026;02;17135000000;;;TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE – SUS – REPASSES FUNDO A FUNDO - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;16.183.314,63;31.982.577,80;211.046.000,00
2026;02;17135010000;;;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE – ATENÇÃO PRIMÁRIA;3.549.988,71;6.388.855,72;41.850.000,00
2026;02;17135011001;0005;1420;SUS - Piso Atenção Básica Ampliada - PABA;2.820.538,71;4.952.649,72;32.150.000,00
2026;02;17135011004;0005;2003;SUS - Atenção Básica - Agente Comunitário de Saúde;729.450,00;1.436.206,00;9.700.000,00
2026;02;17135020000;;;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE – ATENÇÃO ESPECIALIZADA;10.956.344,00;22.598.991,89;146.239.000,00
2026;02;17135021001;0005;1406;SUS - Gestão Plena - Sistema de Informações Hospitalares - SIH;10.956.344,00;22.598.991,89;146.239.000,00
2026;02;17135030000;;;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE – VIGILÂNCIA EM SAÚDE;788.856,19;1.563.722,43;10.806.000,00
2026;02;17135031001;0005;1350;SUS - Vigilância em Saúde - Teto Financeiro - TFVS;125.296,10;306.876,34;2.302.000,00
2026;02;17135031002;0005;1341;SUS - Vigilância em Saúde - AIDS;70.274,09;70.274,09;844.000,00
2026;02;17135031003;0005;2002;SUS - Vigilância em Saúde - Agentes de Combate às Endemias;593.286,00;1.186.572,00;7.660.000,00
2026;02;17135040000;;;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE – ASSISTÊNCIA FARMACÊUTICA;495.250,00;1.038.132,03;5.716.000,00
2026;02;17135041001;0005;1376;SUS - Assistência Farmacêutica - Aquisição de Medicamentos;495.250,00;1.038.132,03;5.716.000,00
2026;02;17135050000;;;TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE – GESTÃO DO SUS;392.875,73;392.875,73;6.435.000,00
2026;02;17135051002;0005;2010;Assistência Financeira Complementar da União destinada ao cumprimento dos pisos salariais da enfermagem;392.875,73;392.875,73;6.435.000,00
2026;02;17140000000;;;TRANSFERÊNCIAS DE RECURSOS DO FUNDO NACIONAL DO DESENVOLVIMENTO DA EDUCAÇÃO – FNDE¿ ;5.255.831,01;10.893.603,35;55.067.000,00
2026;02;17145000000;;;TRANSFERÊNCIAS DO SALÁRIO-EDUCAÇÃO;3.313.870,66;8.951.643,00;40.940.000,00
2026;02;17145001001;0005;1260;Transferência do Salário Educação - Principal;3.313.870,66;8.951.643,00;40.940.000,00
2026;02;17145200000;;;TRANSFERÊNCIAS REFERENTES AO PROGRAMA NACIONAL DE ALIMENTAÇÃO ESCOLAR – PNAE;1.941.960,35;1.941.960,35;13.530.000,00
2026;02;17145201001;0005;2731;Programa Nacional de Alimentação Escolar - PNAE - Pré-Escola;365.879,00;365.879,00;3.043.000,00
2026;02;17145201002;0005;2732;Programa Nacional de Alimentação Escolar - PNAE - Atendimento Educacional Especializado - AEE;70.843,50;70.843,50;513.000,00
2026;02;17145201003;0005;2733;Programa Nacional de Alimentação Escolar - PNAE - Creche;621.327,50;621.327,50;5.126.000,00
2026;02;17145201004;0005;2734;Programa Nacional de Alimentação Escolar - PNAE - Ensino Fundamental;856.108,50;856.108,50;4.680.000,00
2026;02;17145201005;0005;2735;Programa Nacional de Alimentação Escolar - PNAE - Educação de Jovens e Adultos - EJA;9.811,10;9.811,10;88.000,00
